"Date","Apple","Samsung","Huawei","Oppo","Google","Xiaomi","Unknown","Nokia","OnePlus","Motorola","Sony","LG","Lenovo","HTC","Mobicel","ZTE","Asus","Alcatel","Realme","Vivo","BBK","Optus","Honor","Vodafone","Tecno","Smartisan","Meizu","TCL","Razer","Infinix","Other"
2019-09,55.09,22.35,9.56,3.68,1.65,1.67,1.01,0.78,0.61,0.53,0.59,0.45,0.39,0.41,0.25,0.33,0.11,0.15,0.01,0.03,0.06,0.06,0,0.03,0.03,0.03,0.02,0,0,0.01,0.1
2019-10,51.25,25.66,9.41,3.78,1.9,1.57,1.36,0.68,0.66,0.52,0.6,0.45,0.4,0.4,0.25,0.33,0.19,0.19,0.01,0.04,0.06,0.06,0,0.03,0.02,0.02,0.01,0,0,0.01,0.11
2019-11,52.5,25.22,9.36,3.68,1.91,1.54,1.17,0.6,0.63,0.5,0.53,0.42,0.37,0.35,0.26,0.27,0.13,0.17,0.02,0.04,0.05,0.05,0.02,0.02,0.02,0.02,0.01,0,0,0.01,0.1
2019-12,53.26,24.93,9.09,3.68,1.92,1.52,1.02,0.63,0.63,0.5,0.54,0.42,0.36,0.36,0.28,0.26,0.11,0.11,0.05,0.04,0.05,0.04,0.02,0.02,0.03,0.02,0.02,0,0,0.02,0.08
2020-01,53.95,24.47,9.2,3.68,1.91,1.51,0.95,0.62,0.63,0.49,0.5,0.41,0.34,0.32,0.25,0.2,0.1,0.08,0.05,0.05,0.04,0.04,0.04,0.02,0.03,0.01,0.01,0,0,0.02,0.09
2020-02,54.05,24.03,9.76,3.73,1.9,1.58,0.82,0.57,0.63,0.46,0.44,0.4,0.3,0.31,0.27,0.18,0.1,0.07,0.07,0.05,0.04,0.03,0.04,0.02,0.03,0.02,0.01,0,0,0.01,0.08
2020-03,53.98,24.14,9.78,3.81,1.94,1.53,0.8,0.56,0.61,0.44,0.41,0.39,0.3,0.3,0.27,0.16,0.1,0.06,0.08,0.05,0.04,0.03,0.03,0.03,0.02,0.01,0.02,0.03,0.03,0.01,0.07
2020-04,53.93,25.31,8.78,3.85,2.04,1.41,0.74,0.57,0.59,0.42,0.39,0.38,0.32,0.29,0.26,0.14,0.1,0.05,0.08,0.05,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.03,0.01,0.07
2020-05,52.47,24.79,9.98,4.06,1.88,1.55,0.81,0.64,0.66,0.49,0.39,0.43,0.42,0.31,0.31,0.16,0.12,0.06,0.09,0.06,0.05,0.03,0.04,0.03,0,0.01,0.01,0.03,0.02,0,0.08
2020-06,51.52,25.08,10.46,4.19,1.93,1.57,0.84,0.68,0.66,0.5,0.39,0.44,0.4,0.28,0.31,0.13,0.11,0.05,0.09,0.06,0.05,0.03,0.04,0.03,0.01,0.01,0.01,0.02,0.02,0,0.08
2020-07,52.4,24.21,10.76,4.11,1.83,1.56,0.88,0.67,0.61,0.51,0.35,0.43,0.4,0.24,0.34,0.12,0.11,0.04,0.09,0.06,0.04,0.02,0.04,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.08
2020-08,52.84,24.45,10.3,4.04,1.7,1.53,0.94,0.67,0.61,0.48,0.34,0.41,0.41,0.22,0.37,0.11,0.09,0.03,0.11,0.06,0.04,0.02,0.04,0.02,0.01,0.01,0.01,0.02,0.01,0,0.08
2020-09,52.79,24.46,10.05,4.25,1.73,1.56,0.89,0.68,0.62,0.48,0.34,0.42,0.4,0.21,0.4,0.1,0.08,0.03,0.18,0.05,0.04,0.02,0.04,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.08
