Month,Toyota Vitz,Toyota Corolla,Suzuki Wagon R,Suzuki Alto,Suzuki Swift
2005-11,0,0,0,0,0
2005-12,0,43,43,43,43
2006-01,0,57,0,0,0
2006-02,0,0,0,39,0
2006-03,34,0,0,33,34
2006-04,38,0,0,0,38
2006-05,0,93,0,31,31
2006-06,0,29,0,0,0
2006-07,29,30,0,29,30
2006-08,0,26,26,26,78
2006-09,26,39,0,52,26
2006-10,0,35,0,24,47
2006-11,0,24,0,24,24
2006-12,0,26,0,26,52
2007-01,0,46,22,22,22
2007-02,0,0,0,23,0
2007-03,40,40,0,20,20
2007-04,0,55,0,0,33
2007-05,0,98,18,35,27
2007-06,0,59,0,34,25
2007-07,0,60,0,23,15
2007-08,0,43,0,0,0
2007-09,0,44,0,30,22
2007-10,0,59,0,13,20
2007-11,0,50,13,19,12
2007-12,0,41,0,0,14
2008-01,12,18,0,18,12
2008-02,0,12,0,12,12
2008-03,12,65,0,18,35
2008-04,12,36,0,12,12
2008-05,0,38,0,11,27
2008-06,21,37,11,11,27
2008-07,0,19,0,28,14
2008-08,10,24,0,19,19
2008-09,18,14,0,9,9
2008-10,16,12,8,8,8
2008-11,8,24,0,8,8
2008-12,8,37,0,0,12
2009-01,0,14,0,0,14
2009-02,0,23,8,8,8
2009-03,7,7,0,0,14
2009-04,8,26,0,8,15
2009-05,7,10,0,7,0
2009-06,0,16,0,6,6
2009-07,12,36,6,9,6
2009-08,6,30,0,12,18
2009-09,6,30,6,6,6
2009-10,8,20,6,6,11
2009-11,0,17,11,6,17
2009-12,0,16,5,16,16
2010-01,0,17,5,5,15
2010-02,7,29,0,11,7
2010-03,9,30,9,9,9
2010-04,10,20,0,15,30
2010-05,19,42,0,14,14
2010-06,44,48,17,83,39
2010-07,26,19,0,26,26
2010-08,38,26,7,22,19
2010-09,23,27,8,12,27
2010-10,15,22,19,19,22
2010-11,12,21,6,27,15
2010-12,21,34,6,31,12
2011-01,18,34,4,29,13
2011-02,22,19,2,21,10
2011-03,16,20,4,16,16
2011-04,18,21,7,33,21
2011-05,19,21,2,17,18
2011-06,17,31,0,25,14
2011-07,9,21,2,17,17
2011-08,13,16,3,20,17
2011-09,9,22,2,19,6
2011-10,8,15,2,25,16
2011-11,12,23,2,12,15
2011-12,12,19,2,19,11
2012-01,6,16,3,21,12
2012-02,12,14,1,20,13
2012-03,7,11,4,16,11
2012-04,5,12,3,12,4
2012-05,4,11,1,8,5
2012-06,4,19,3,14,10
2012-07,5,13,2,8,7
2012-08,9,17,1,7,8
2012-09,7,13,0,8,10
2012-10,5,13,1,11,8
2012-11,5,13,2,10,5
2012-12,3,14,1,8,4
2013-01,5,7,1,7,7
2013-02,4,9,2,8,6
2013-03,5,13,1,11,10
2013-04,10,15,2,8,9
2013-05,7,15,2,9,8
2013-06,8,16,2,27,6
2013-07,10,11,1,24,6
2013-08,3,14,1,15,10
2013-09,6,11,1,16,9
2013-10,7,10,1,14,10
2013-11,4,12,2,13,11
2013-12,5,13,2,11,7
2014-01,4,15,2,9,10
2014-02,6,13,1,12,9
2014-03,5,8,1,12,6
2014-04,6,17,2,15,9
2014-05,8,14,1,11,9
2014-06,7,11,2,17,8
2014-07,7,14,1,15,8
2014-08,7,17,1,14,8
2014-09,7,8,1,15,14
2014-10,8,14,3,23,10
2014-11,12,14,4,82,14
2014-12,10,10,3,38,13
2015-01,13,14,4,48,9
2015-02,14,15,4,100,16
2015-03,10,13,13,63,13
2015-04,11,13,15,52,13
2015-05,11,17,19,56,10
2015-06,9,17,36,57,16
2015-07,8,17,30,45,11
2015-08,9,14,34,52,8
2015-09,6,11,37,51,11
2015-10,10,14,26,47,11
2015-11,7,14,17,43,9
2015-12,5,9,14,26,10
2016-01,7,10,14,24,9
2016-02,8,13,11,21,10
2016-03,7,12,11,23,11
2016-04,7,13,14,35,9
2016-05,10,14,17,43,10
2016-06,14,13,21,41,13
2016-07,8,11,11,28,10
2016-08,7,13,10,29,7
2016-09,8,13,15,27,7
2016-10,5,12,12,27,10
2016-11,7,13,11,32,9
2016-12,7,12,12,29,7
2017-01,6,15,11,24,15
2017-02,9,13,15,28,8
2017-03,6,11,13,23,10
2017-04,7,14,14,28,10
2017-05,4,12,13,20,10
2017-06,6,13,16,25,12
2017-07,8,13,18,23,13
2017-08,7,15,17,31,12
2017-09,7,14,22,26,10
2017-10,4,15,25,21,8
2017-11,36,15,56,38,17
2017-12,21,11,50,31,13
2018-01,21,14,55,35,16
2018-02,14,13,47,44,19
2018-03,14,14,40,42,13
2018-04,15,15,47,41,17
2018-05,17,16,48,43,18
2018-06,19,17,47,42,17
2018-07,15,13,43,46,15
2018-08,23,16,43,42,17
2018-09,15,15,32,30,16
2018-10,11,14,25,29,13
2018-11,13,12,24,23,12
2018-12,13,12,25,29,10
2019-01,13,11,27,31,16
2019-02,18,14,27,33,16
2019-03,16,12,30,37,13
2019-04,12,12,25,29,11
2019-05,11,12,26,30,12
2019-06,13,15,22,31,13
2019-07,16,12,25,37,13
2019-08,22,15,30,31,15
2019-09,20,16,27,30,13
2019-10,19,12,29,34,10
2019-11,20,14,28,31,14
2019-12,17,14,27,36,15
2020-01,26,16,25,39,12
2020-02,26,15,27,42,18
2020-03,16,13,23,28,12
2020-04,8,10,8,16,5
2020-05,18,11,19,28,9
2020-06,32,22,32,43,18
2020-07,40,20,29,50,22
2020-08,34,23,41,63,24
2020-09,29,19,44,64,22
2020-10,19,16,27,48,15
2020-11,16,12,20,35,13
