Month,Toyota,Nissan,Honda,Suzuki,Mazda,Subaru
2010-10,67,50,81,24,23,14
2010-11,65,48,75,23,21,14
2010-12,66,45,72,21,20,14
2011-01,70,49,79,24,22,15
2011-02,67,48,80,25,23,15
2011-03,68,48,90,26,24,14
2011-04,66,47,90,27,23,14
2011-05,63,46,86,26,22,13
2011-06,64,46,85,26,23,13
2011-07,65,46,84,25,23,13
2011-08,68,49,88,26,23,13
2011-09,68,50,85,24,22,13
2011-10,65,50,79,22,22,13
2011-11,64,48,71,20,21,13
2011-12,63,45,71,19,20,14
2012-01,67,48,76,21,22,14
2012-02,67,50,80,22,24,15
2012-03,66,49,86,25,24,14
2012-04,65,46,84,25,24,14
2012-05,63,46,83,25,23,14
2012-06,65,47,84,24,22,14
2012-07,68,49,85,24,23,14
2012-08,70,48,86,24,24,15
2012-09,68,48,85,24,22,14
2012-10,64,45,79,22,21,14
2012-11,63,45,75,21,20,14
2012-12,62,43,71,20,19,14
2013-01,65,45,76,21,22,14
2013-02,67,46,77,21,23,15
2013-03,69,46,82,23,23,15
2013-04,65,45,86,23,23,14
2013-05,64,46,85,23,22,14
2013-06,66,47,87,23,23,14
2013-07,69,50,88,24,25,15
2013-08,69,49,86,23,24,14
2013-09,67,48,81,22,23,13
2013-10,66,47,78,23,23,14
2013-11,65,47,77,21,23,15
2013-12,62,45,73,19,21,14
2014-01,69,50,80,21,23,15
2014-02,69,51,79,23,24,16
2014-03,68,50,83,23,25,15
2014-04,70,48,85,24,25,16
2014-05,67,49,87,23,24,15
2014-06,67,49,87,24,23,15
2014-07,70,51,94,23,24,16
2014-08,71,50,92,24,25,16
2014-09,70,49,86,25,24,15
2014-10,68,49,83,24,23,15
2014-11,67,50,81,21,24,15
2014-12,65,46,74,20,22,14
2015-01,68,50,80,22,24,16
2015-02,69,53,82,23,26,16
2015-03,72,52,92,25,27,16
2015-04,71,53,93,26,27,17
2015-05,71,52,92,25,27,16
2015-06,73,53,95,25,27,16
2015-07,74,53,99,25,27,16
2015-08,73,53,100,26,28,16
2015-09,71,51,91,24,27,16
2015-10,72,50,89,24,25,16
2015-11,71,49,85,23,26,15
2015-12,71,49,81,21,24,15
2016-01,71,51,84,23,25,15
2016-02,72,53,90,24,26,16
2016-03,73,52,91,24,27,16
2016-04,72,51,92,24,26,15
2016-05,71,51,94,24,26,15
2016-06,71,51,91,24,26,15
2016-07,75,51,97,24,27,16
2016-08,76,51,93,24,26,16
2016-09,75,52,91,24,26,15
2016-10,73,50,90,24,25,15
2016-11,74,49,81,22,24,15
2016-12,76,48,80,22,24,16
2017-01,82,53,85,24,27,17
2017-02,81,55,88,25,27,17
2017-03,80,55,96,25,28,16
2017-04,79,53,93,26,27,16
2017-05,77,52,91,24,26,16
2017-06,81,54,92,25,27,16
2017-07,82,55,95,25,28,17
2017-08,81,55,93,24,28,17
2017-09,80,54,89,24,27,16
2017-10,81,55,87,24,26,17
2017-11,79,52,85,24,26,16
2017-12,75,50,82,23,24,16
2018-01,81,54,83,25,26,17
2018-02,82,54,87,25,27,17
2018-03,82,55,88,25,27,17
2018-04,81,52,91,26,27,16
2018-05,81,51,94,25,26,16
2018-06,80,51,92,26,26,16
2018-07,84,53,94,27,27,17
2018-08,84,54,93,26,27,17
2018-09,80,52,88,26,26,16
2018-10,78,50,85,26,25,16
2018-11,79,53,82,24,26,16
2018-12,77,50,81,23,25,15
2019-01,82,52,82,25,27,17
2019-02,81,52,87,25,26,16
2019-03,79,51,91,26,27,17
2019-04,82,51,90,26,26,16
2019-05,82,51,89,25,27,15
2019-06,82,51,91,26,26,16
2019-07,85,54,95,26,27,17
2019-08,86,53,93,26,27,17
2019-09,98,51,91,25,27,16
2019-10,83,51,85,25,26,16
2019-11,80,50,81,23,25,15
2019-12,78,48,76,21,24,15
2020-01,82,51,82,24,26,16
2020-02,82,53,83,24,26,15
2020-03,65,41,70,19,20,12
2020-04,56,34,62,17,17,11
2020-05,70,45,80,22,22,14
2020-06,82,52,94,26,25,15
2020-07,87,53,92,26,27,16
2020-08,85,53,91,27,26,16
2020-09,81,50,85,25,24,15
2020-10,80,48,83,24,24,14
2020-11,72,45,77,23,22,13
