Date,Playstation,Nintendo,Other,Xbox,Sum,Keep the Row
2012-08,89.83,10.17,0,0.0,100.0,True
2012-09,90.57,9.43,0,0.0,100.0,True
2012-10,91.69,8.31,0,0.0,100.0,True
2012-11,91.27,8.73,0,0.0,100.0,True
2012-12,90.27,9.73,0,0.0,100.0,True
2013-01,89.32,10.68,0,0.0,100.0,True
2013-02,88.23,11.77,0,0.0,100.0,True
2013-03,87.36,12.64,0,0.0,100.0,True
2013-04,87.01,12.99,0,0.0,100.0,True
2013-05,86.45,13.55,0,0.0,100.0,True
2013-06,84.85,15.15,0,0.0,100.0,True
2013-07,84.47,15.53,0,0.0,100.0,True
2013-08,84.37,15.63,0,0.0,100.0,True
2013-09,83.71,16.29,0,0.0,100.0,True
2013-10,84.25,15.74,0,0.0,99.99,True
2013-11,83.08,16.92,0,0.0,100.0,True
2013-12,73.76,15.42,0,10.82,100.0,True
2014-01,68.26,15.56,0,16.18,100.0,True
2014-02,66.63,14.61,0,18.76,100.0,True
2014-03,66.07,14.78,0,19.15,100.0,True
2014-04,64.71,14.98,0,20.31,100.0,True
2014-05,62.97,15.91,0,21.11,99.99,True
2014-06,58.06,17.45,0,24.49,100.0,True
2014-07,54.0,19.13,0,26.86,99.99,True
2014-08,54.98,17.73,0,27.29,100.0,True
2014-09,57.04,17.22,0,25.73,99.99,True
2014-10,59.45,16.02,0,24.53,100.0,True
2014-11,62.22,14.36,0,23.42,100.0,True
2014-12,59.3,15.07,0,25.63,100.0,True
2015-01,59.58,13.21,0,27.21,100.0,True
2015-02,60.34,12.56,0,27.1,100.0,True
2015-03,59.83,13.02,0,27.15,100.0,True
2015-04,63.9,10.7,0,25.4,100.0,True
2015-05,62.37,11.6,0,26.03,100.0,True
2015-06,61.25,12.37,0,26.38,100.0,True
2015-07,59.95,11.87,0,28.18,100.0,True
2015-08,61.06,9.82,0,29.12,100.0,True
2015-09,64.87,9.23,0,25.9,100.0,True
2015-10,65.79,8.56,0,25.64,99.99000000000001,True
2015-11,66.46,8.43,0,25.11,99.99999999999999,True
2015-12,66.56,7.78,0,25.66,100.0,True
2016-01,68.12,6.98,0,24.9,100.0,True
2016-02,67.71,6.14,0,26.15,100.0,True
2016-03,70.02,6.69,0,23.29,100.0,True
2016-04,69.1,6.31,0,24.6,100.00999999999999,True
2016-05,71.45,6.35,0,22.2,100.0,True
2016-06,70.78,5.94,0,23.28,100.0,True
2016-07,67.27,6.6,0,26.13,99.99999999999999,True
2016-08,68.74,6.07,0,25.2,100.01,True
2016-09,72.21,5.52,0,22.27,99.99999999999999,True
2016-10,69.27,5.63,0,25.1,100.0,True
2016-11,69.25,5.46,0,25.29,100.0,True
2016-12,68.91,4.89,0,26.21,100.00999999999999,True
2017-01,68.83,4.35,0,26.81,99.99,True
2017-02,70.29,4.0,0,25.71,100.0,True
2017-03,70.3,3.8,0,25.9,100.0,True
2017-04,71.54,3.55,0,24.91,100.0,True
2017-05,70.89,3.66,0,25.44,99.99,True
2017-06,69.5,4.33,0,26.17,100.0,True
2017-07,68.79,4.16,0,27.05,100.0,True
2017-08,67.79,3.77,0,28.44,100.0,True
2017-09,28.8,1.26,0,69.95,100.01,True
2017-10,38.26,1.49,0,60.26,100.00999999999999,True
2017-11,70.48,3.06,0,26.46,100.0,True
2017-12,70.78,2.78,0,26.44,100.0,True
2018-01,70.51,3.59,0,25.9,100.0,True
2018-02,72.81,3.24,0,23.95,100.0,True
2018-03,72.57,3.16,0,24.27,99.99999999999999,True
2018-04,73.34,3.38,0,23.28,100.0,True
2018-05,70.59,3.27,0,26.14,100.0,True
2018-06,70.34,3.56,0,26.1,100.0,True
2018-07,70.19,3.53,0,26.28,100.0,True
2018-08,73.4,3.17,0,23.43,100.0,True
2018-09,73.14,3.0,0,23.87,100.01,True
2018-10,69.59,4.66,0,25.75,100.0,True
2018-11,65.37,7.41,0,27.22,100.0,True
2018-12,70.21,2.48,0,27.32,100.00999999999999,True
2019-01,67.61,2.31,0,30.08,100.0,True
2019-02,62.45,2.27,0,35.28,100.0,True
2019-03,63.44,1.98,0,34.59,100.01,True
2019-04,61.1,1.62,0,37.29,100.00999999999999,True
2019-05,55.85,1.24,0,42.9,99.99000000000001,True
2019-06,48.22,0.99,0,50.78,99.99000000000001,True
2019-07,45.56,0.95,0,53.49,100.0,True
2019-08,62.42,1.45,0,36.13,100.0,True
2019-09,63.81,1.27,0,34.92,100.0,True
2019-10,66.55,1.17,0,32.28,100.0,True
2019-11,68.45,1.03,0,30.52,100.0,True
2019-12,68.29,1.01,0,30.71,100.01000000000002,True
2020-01,68.08,0.87,0,31.04,99.99000000000001,True
2020-02,57.7,0.68,0,41.62,100.0,True
2020-03,41.44,0.44,0,58.12,100.0,True
2020-04,40.87,0.45,0,58.68,100.0,True
2020-05,65.99,0.55,0,33.46,100.0,True
2020-06,64.68,0.01,0,35.32,100.01000000000002,True
2020-07,63.39,0.01,0,36.6,100.0,True
2020-08,64.22,0.01,0,35.77,100.0,True
2020-09,66.33,0.01,0,33.66,100.0,True
2020-10,65.09,0.0,0,34.9,99.99000000000001,True
